,mcg,gvh,alm,mit,erl,pox,vac,nuc,localization.site
170,0.59,0.77,0.38,0.2,0.5,0.0,0.51,0.22,ME2
171,0.97,0.9,0.42,0.07,0.5,0.0,0.3,0.22,ME2
172,0.96,0.9,0.52,0.23,0.5,0.0,0.55,0.23,ME2
173,0.41,0.85,0.56,0.17,0.5,0.0,0.56,0.22,ME2
174,0.68,0.8,0.39,0.19,0.5,0.0,0.59,0.22,ME2
175,0.89,0.58,0.47,0.12,0.5,0.0,0.59,0.22,ME2
176,0.73,0.71,0.4,0.28,0.5,0.0,0.53,0.28,ME2
177,0.97,0.63,0.46,0.11,0.5,0.0,0.59,0.22,ME2
178,0.68,0.45,0.53,0.06,0.5,0.0,0.53,0.22,ME2
179,0.75,0.86,0.46,0.18,0.5,0.0,0.55,0.22,ME2
180,0.86,0.9,0.58,0.16,0.5,0.0,0.49,0.22,ME2
181,0.92,0.68,0.35,0.09,0.5,0.0,0.56,0.23,ME2
182,0.34,0.86,0.37,0.57,0.5,0.0,0.59,0.22,ME2
183,0.77,0.71,0.42,0.21,0.5,0.0,0.56,0.22,ME2
184,0.76,0.51,0.41,0.05,0.5,0.0,0.58,0.22,ME2
185,0.97,0.73,0.52,0.36,0.5,0.0,0.54,0.23,ME2
186,0.6,0.57,0.49,0.49,0.5,0.0,0.5,0.22,ME2
187,0.97,0.87,0.54,0.3,0.5,0.0,0.52,0.22,ME2
188,0.97,0.89,0.34,0.16,0.5,0.0,0.56,0.22,ME2
189,0.84,0.62,0.6,0.26,0.5,0.0,0.55,0.23,ME2
190,0.67,0.48,0.4,0.37,0.5,0.0,0.36,0.22,ME2
191,0.78,0.6,0.5,0.19,0.5,0.0,0.59,0.22,ME2
192,0.87,0.9,0.42,0.24,0.5,0.0,0.56,0.23,ME2
193,0.83,0.36,0.56,0.14,0.5,0.0,0.57,0.3,ME2
194,0.71,0.87,0.6,0.32,0.5,0.0,0.58,0.22,ME2
195,0.71,0.59,0.55,0.13,0.5,0.0,0.57,0.22,ME2
196,0.82,0.72,0.39,0.27,0.5,0.0,0.56,0.23,ME2
197,0.68,0.34,0.42,0.25,0.5,0.0,0.5,0.22,ME2
198,0.97,0.9,0.56,0.27,0.5,0.0,0.57,0.25,ME2
199,0.59,0.9,0.49,0.13,0.5,0.0,0.57,0.22,ME2
200,0.77,0.9,0.46,0.19,0.5,0.0,0.58,0.22,ME2
201,0.83,0.82,0.37,0.46,0.5,0.0,0.48,0.35,ME2
202,0.63,0.79,0.39,0.31,0.5,0.0,0.57,0.22,ME2
203,0.75,0.48,0.56,0.04,0.5,0.0,0.56,0.22,ME2
204,0.9,0.9,0.48,0.22,0.5,0.0,0.56,0.22,ME2
205,0.72,0.9,0.47,0.25,0.5,0.0,0.59,0.22,ME2
206,0.84,0.9,0.33,0.46,0.5,0.0,0.54,0.24,ME2
207,0.42,0.45,0.41,0.14,0.5,0.0,0.55,0.22,ME2
208,0.97,0.55,0.35,0.34,0.5,0.0,0.52,0.22,ME2
209,0.95,0.73,0.5,0.21,0.5,0.0,0.53,0.22,ME2
210,0.97,0.74,0.39,0.41,0.5,0.0,0.36,0.22,ME2
211,0.92,0.56,0.59,0.3,0.5,0.0,0.54,0.23,ME2
212,0.47,0.83,0.35,0.09,0.5,0.0,0.58,0.22,ME2
213,0.88,0.69,0.48,0.5,0.5,0.0,0.54,0.22,ME2
214,0.68,0.57,0.53,0.05,0.5,0.0,0.56,0.23,ME2
215,0.85,0.9,0.46,0.31,0.5,0.0,0.59,0.22,ME2
216,0.4,0.46,0.35,0.13,0.5,0.0,0.54,0.22,ME2
217,0.95,0.57,0.43,0.2,0.5,0.0,0.54,0.22,ME2
218,0.76,0.9,0.55,0.4,0.5,0.0,0.54,0.22,ME2
219,0.83,0.4,0.39,0.08,0.5,0.0,0.49,0.23,ME2
220,0.83,0.54,0.34,0.12,0.5,0.0,0.59,0.23,ME2
221,0.47,0.66,0.52,0.22,0.5,0.0,0.55,0.22,ME2
222,0.85,0.72,0.36,0.57,0.5,0.0,0.56,0.22,ME2
223,0.43,0.9,0.53,0.04,0.5,0.0,0.59,0.22,ME2
224,0.57,0.74,0.52,0.29,0.5,0.0,0.59,0.22,ME2
225,0.68,0.68,0.27,0.19,0.5,0.0,0.49,0.34,ME2
226,0.79,0.9,0.55,0.26,0.5,0.0,0.56,0.22,ME2
227,0.91,0.9,0.37,0.26,0.5,0.0,0.58,0.22,ME2
228,0.67,0.58,0.34,0.14,0.5,0.0,0.52,0.28,ME2
229,0.71,0.9,0.4,0.05,0.5,0.0,0.59,0.22,ME2
230,0.62,0.9,0.6,0.47,0.5,0.0,0.49,0.24,ME2
231,0.88,0.42,0.43,0.17,0.5,0.0,0.55,0.22,ME2
232,0.76,0.69,0.59,0.15,0.5,0.0,0.54,0.22,ME2
233,0.57,0.9,0.43,0.22,0.5,0.0,0.54,0.24,ME2
234,0.9,0.49,0.52,0.13,0.5,0.0,0.56,0.34,ME2
235,0.77,0.8,0.54,0.07,0.5,0.0,0.55,0.22,ME2
236,0.77,0.9,0.57,0.15,0.5,0.0,0.53,0.22,ME2
237,0.87,0.66,0.46,0.26,0.5,0.0,0.58,0.23,ME2
238,0.7,0.55,0.4,0.08,0.5,0.0,0.54,0.23,ME2
239,0.34,0.67,0.29,0.15,0.5,0.0,0.53,0.22,ME2
240,0.59,0.84,0.43,0.42,0.5,0.0,0.53,0.32,ME2
241,0.68,0.52,0.43,0.21,0.5,0.0,0.51,0.22,ME2
242,0.6,0.46,0.57,0.24,0.5,0.0,0.56,0.31,ME2
243,0.71,0.9,0.56,0.51,0.5,0.0,0.52,0.22,ME2
244,0.42,0.87,0.27,0.15,0.5,0.0,0.5,0.22,ME2
245,0.8,0.9,0.46,0.3,0.5,0.0,0.51,0.22,ME2
246,0.97,0.47,0.56,0.35,0.5,0.0,0.31,0.35,ME2
247,0.78,0.64,0.43,0.21,0.5,0.0,0.56,0.33,ME2
248,0.94,0.82,0.36,0.24,0.5,0.0,0.51,0.22,ME2
249,0.92,0.67,0.48,0.49,0.5,0.0,0.3,0.22,ME2
250,0.76,0.59,0.51,0.23,0.5,0.0,0.56,0.22,ME2
251,0.69,0.88,0.46,0.44,0.5,0.0,0.49,0.22,ME2
252,0.97,0.69,0.47,0.43,0.5,0.0,0.52,0.22,ME2
253,0.59,0.5,0.27,0.13,0.5,0.0,0.59,0.22,ME2
254,0.7,0.8,0.56,0.12,0.5,0.0,0.59,0.22,ME2
255,0.64,0.76,0.45,0.19,0.5,0.0,0.59,0.22,ME2
256,0.84,0.87,0.46,0.25,0.5,0.0,0.53,0.22,ME2
257,0.69,0.84,0.51,0.44,0.5,0.0,0.56,0.22,ME2
258,0.43,0.64,0.33,0.13,0.5,0.0,0.51,0.22,ME2
259,0.77,0.86,0.51,0.57,0.5,0.0,0.52,0.23,ME2
260,0.8,0.74,0.51,0.15,0.5,0.0,0.47,0.22,ME2
261,0.83,0.9,0.38,0.04,0.5,0.0,0.55,0.24,ME2
262,0.94,0.8,0.51,0.26,0.5,0.0,0.52,0.22,ME2
263,0.53,0.9,0.31,0.31,0.5,0.0,0.59,0.22,ME2
264,0.93,0.9,0.29,0.48,0.5,0.0,0.57,0.22,ME2
265,0.87,0.9,0.38,0.22,0.5,0.0,0.59,0.22,ME2
266,0.88,0.7,0.6,0.32,0.5,0.0,0.48,0.22,ME2
267,0.6,0.9,0.3,0.19,0.5,0.0,0.55,0.24,ME2
268,0.68,0.76,0.56,0.15,0.5,0.0,0.51,0.22,ME2
269,0.87,0.9,0.51,0.26,0.5,0.0,0.57,0.36,ME2
270,0.96,0.89,0.58,0.05,0.5,0.0,0.55,0.32,ME2
271,0.97,0.76,0.33,0.26,0.5,0.0,0.56,0.22,ME2
272,0.56,0.8,0.5,0.19,0.5,0.0,0.5,0.24,ME2
273,0.81,0.9,0.34,0.23,0.5,0.0,0.56,0.22,ME2
274,0.77,0.78,0.5,0.26,0.5,0.0,0.54,0.22,ME2
275,0.91,0.73,0.3,0.26,0.5,0.0,0.56,0.22,ME2
276,0.61,0.77,0.27,0.42,0.5,0.0,0.5,0.4,ME2
277,0.76,0.5,0.44,0.12,0.5,0.0,0.53,0.23,ME2
278,0.87,0.79,0.52,0.21,0.5,0.0,0.59,0.22,ME2
279,0.84,0.82,0.54,0.13,0.5,0.0,0.51,0.22,ME2
280,0.69,0.71,0.54,0.23,0.5,0.0,0.54,0.22,ME2
281,0.61,0.9,0.41,0.24,0.5,0.0,0.54,0.22,ME2
282,0.92,0.9,0.27,0.23,0.5,0.0,0.59,0.22,ME2
283,0.82,0.64,0.41,0.07,0.7,0.0,0.53,0.22,ME2
284,0.85,0.86,0.33,0.42,0.5,0.0,0.52,0.32,ME2
285,0.7,0.72,0.37,0.14,0.5,0.0,0.56,0.23,ME2
286,0.74,0.9,0.59,0.22,0.5,0.0,0.56,0.22,ME2
287,0.59,0.4,0.34,0.2,0.5,0.0,0.52,0.22,ME2
288,0.81,0.64,0.54,0.1,0.5,0.0,0.47,0.22,ME2
289,0.4,0.9,0.54,0.22,0.5,0.0,0.59,0.22,ME2
290,0.4,0.8,0.33,0.28,0.5,0.0,0.52,0.22,ME2
291,0.72,0.87,0.5,0.1,0.5,0.0,0.52,0.22,ME2
292,0.93,0.9,0.5,0.16,0.5,0.0,0.58,0.22,ME2
293,0.95,0.9,0.52,0.24,0.5,0.0,0.55,0.22,ME2
294,0.5,0.6,0.37,0.15,0.5,0.0,0.51,0.23,ME2
295,0.9,0.81,0.43,0.28,0.5,0.0,0.56,0.29,ME2
296,0.34,0.58,0.59,0.57,0.5,0.0,0.49,0.24,ME2
297,0.81,0.9,0.43,0.17,0.5,0.0,0.57,0.22,ME2
298,0.45,0.34,0.6,0.13,0.5,0.0,0.58,0.22,ME2
299,0.54,0.49,0.32,0.49,0.5,0.0,0.52,0.25,ME2
300,0.92,0.79,0.39,0.29,0.5,0.0,0.56,0.22,ME2
301,0.8,0.86,0.4,0.2,0.5,0.0,0.57,0.24,ME2
302,0.96,0.76,0.46,0.21,0.5,0.0,0.4,0.24,ME2
303,0.81,0.78,0.46,0.25,0.5,0.0,0.53,0.22,ME2
304,0.67,0.53,0.41,0.11,0.5,0.0,0.55,0.22,ME2
305,0.86,0.66,0.57,0.05,0.5,0.0,0.5,0.22,ME2
306,0.64,0.9,0.46,0.4,0.5,0.0,0.51,0.22,ME2
307,0.78,0.9,0.37,0.11,0.5,0.0,0.59,0.22,ME2
308,0.65,0.55,0.46,0.38,0.5,0.0,0.56,0.22,ME2
309,0.74,0.9,0.48,0.31,0.5,0.0,0.5,0.22,ME2
310,0.7,0.78,0.51,0.22,0.5,0.0,0.54,0.22,ME2
311,0.86,0.54,0.56,0.12,0.5,0.0,0.53,0.22,ME2
312,0.62,0.84,0.29,0.1,0.5,0.0,0.54,0.22,ME2
313,0.8,0.9,0.58,0.42,0.5,0.0,0.57,0.22,ME2
314,0.9,0.77,0.49,0.37,0.5,0.0,0.47,0.22,ME2
315,0.58,0.56,0.45,0.14,0.5,0.0,0.58,0.22,ME2
316,0.97,0.9,0.36,0.29,0.5,0.0,0.57,0.22,ME2
317,0.73,0.35,0.52,0.39,0.5,0.0,0.49,0.22,ME2
318,0.88,0.63,0.45,0.09,0.5,0.0,0.55,0.23,ME2
319,0.95,0.9,0.4,0.51,0.5,0.0,0.52,0.25,ME2
320,0.59,0.9,0.45,0.13,0.5,0.0,0.3,0.22,ME2
321,0.81,0.79,0.57,0.24,0.5,0.0,0.31,0.22,ME2
322,0.78,0.52,0.5,0.25,0.5,0.0,0.56,0.22,ME2
323,0.49,0.56,0.45,0.1,0.5,0.0,0.56,0.23,ME2
324,0.78,0.69,0.27,0.26,0.5,0.0,0.57,0.22,ME2
325,0.79,0.9,0.39,0.26,0.5,0.0,0.59,0.22,ME2
326,0.38,0.86,0.49,0.3,0.5,0.0,0.57,0.22,ME2
327,0.93,0.71,0.56,0.24,1.0,0.0,0.52,0.22,ME2
328,0.73,0.47,0.43,0.22,0.5,0.0,0.57,0.22,ME2
329,0.89501137,0.7331885,0.2712141,0.1754851,0.5,0.0,0.5102052,0.22,ME2
330,0.6883499,0.6511377,0.52243084,0.19171168,0.5,0.0,0.3445733,0.2975371,ME2
331,0.24013187,0.29261,0.4500868,0.13774829,0.5,0.0,0.43170714,0.22,ME2
332,0.8448556,0.8220921,0.4292566,0.46771336,0.5,0.0,0.5884289,0.22,ME2
333,0.80887884,0.7363236,0.4258585,0.3168084,0.5,0.0,0.52784264,0.22,ME2
334,0.5482858,0.66989136,0.38526896,0.19673976,0.5,0.0,0.5105419,0.22,ME2
335,0.8334141,0.89979935,0.41023618,0.4627039,0.5,0.0,0.4279491,0.22,ME2
336,0.9599486,0.60288835,0.2862193,0.3841677,0.5,0.0,0.33302936,0.22,ME2
337,0.7978092,0.76498705,0.44781673,0.36660913,0.5,0.0,0.5234408,0.22,ME2
338,0.95464593,0.70509183,0.2737015,0.33034357,0.5,0.0,0.33305147,0.22,ME2
339,0.96998656,0.70028335,0.29628354,0.23288117,0.5,0.0,0.35389733,0.22,ME2
340,0.7825169,0.5893214,0.4012077,0.34521657,0.5,0.0,0.4926015,0.22,ME2
341,0.7932006,0.57459307,0.36684194,0.18934532,0.5,0.0,0.5325674,0.22,ME2
342,0.82768655,0.6555571,0.52928877,0.26479793,0.5,0.0,0.48067957,0.22,ME2
343,0.7607262,0.86545223,0.47445956,0.35378152,0.5,0.0,0.47561955,0.22,ME2
344,0.8469124,0.6247505,0.36383635,0.19336611,0.5,0.0,0.5246464,0.22,ME2
345,0.65266293,0.61467534,0.45474172,0.2307658,0.5,0.0,0.5142006,0.22,ME2
346,0.86296326,0.6564852,0.45355248,0.37179363,0.5,0.0,0.5494886,0.22,ME2
347,0.38399118,0.70888275,0.41747686,0.16602884,0.5,0.0,0.34993476,0.22,ME2
348,0.8904509,0.59921783,0.37904888,0.40188706,0.5,0.0,0.59250116,0.22,ME2
349,0.80266637,0.6880313,0.5172866,0.19518542,0.5,0.0,0.52585495,0.22,ME2
350,0.44256458,0.47603014,0.5091121,0.19145922,0.5,0.0,0.5275633,0.22,ME2
351,0.8191435,0.6105148,0.48616275,0.21857126,0.5,0.0,0.5293866,0.41347924,ME2
352,0.7776958,0.68244433,0.47809,0.409931,0.5,0.0,0.30978552,0.30049452,ME2
353,0.78319126,0.5985271,0.5314784,0.36951888,0.5,0.0,0.41906154,0.4638259,ME2
354,0.7616444,0.58965474,0.54664403,0.18762368,0.5,0.0,0.50469595,0.22,ME2
355,0.58727944,0.43290606,0.38227344,0.19766925,0.5,0.0,0.53920114,0.4687013,ME2
356,0.8041821,0.58035743,0.43123475,0.06510601,0.5,0.0,0.5232541,0.22,ME2
357,0.7378364,0.48515975,0.44064787,0.22322927,0.5,0.0,0.52810055,0.22,ME2
