Timestamp,Syn_Algo,Dataset,Validity Score,Structure Score,Column Shape Quality,Column Pair Trends,Average WD (Continuous Columns),Average JSD (Categorical Columns),Correlation Distance
20250112_101521,vae-bgm,adult,0.9527046912708224,0.6470588235294118,0.8934917143426813,0.7621453558548121,0.0992481586947866,0.0319909009937596,1.1095528421758554
20250112_101536,ctgan,yeast,1.0,1.0,0.7636592779301653,0.8400051779182247,0.1159943658020659,0.0,1.5873457170622165
20250112_101544,smote,yeast,1.0,1.0,0.91786723338358,0.9332963156505651,0.0285861040683927,0.0,0.5239340210515195
20250112_101603,tabsyn,yeast,1.0,1.0,0.9328794655727712,0.9437586198147502,0.0182735124681645,0.0206593312081786,0.2342425428064331
20250112_101656,vae-bgm,yeast,0.9959349593495934,1.0,0.8590785921409213,0.842264655726394,0.0403654893949424,0.0623411414683689,1.5478550486585985
20250112_101719,ctgan,cc-fraud-1,1.0,1.0,0.738737971149006,0.8515457025987662,0.0788454054151382,0.0,10.886033449550574
20250112_101735,smote,cc-fraud-1,1.0,1.0,0.9529289867901268,0.9799883878181124,0.0125693614308658,0.0,1.2082576706455368
20250112_101754,tabsyn,cc-fraud-1,0.9999974101315652,1.0,0.9438335408035528,0.980794203837184,0.0119948586131592,0.0047402924956072,1.33121687780901
20250112_101910,ctab-gan-plus,cc-fraud-1,1.0,1.0,0.8844879268615541,0.8866899011752187,0.024168559919249,0.0399639017504986,8.471672920765409
20250112_101921,vae-bgm,cc-fraud-1,1.0,1.0,0.6279132791327913,0.7315529074867284,0.0741702870690203,0.0675733807030568,18.07019717175664
20250112_101956,ctgan,cc-fraud-5,1.0,1.0,0.7200664667391175,0.8495627274039902,0.0925364218242797,0.0,10.894651613887904
20250112_102003,smote,cc-fraud-5,1.0,1.0,0.9524301973138176,0.9780642923440116,0.0136238720042123,0.0,1.3377548991469237
20250112_102012,tabsyn,cc-fraud-5,0.9999976499341982,1.0,0.9434507678410116,0.9770648332473408,0.0117433650057938,0.0245023483565704,1.5834895477902715
20250112_102029,ctab-gan-plus,cc-fraud-5,1.0,1.0,0.8675318921124913,0.8867075447962274,0.0295571924552996,0.0390291901529841,7.875756569346753
20250112_102043,vae-bgm,cc-fraud-5,0.9964430894308944,1.0,0.6154471544715446,0.7088882799723755,0.0788199312173522,0.0658283328916251,18.65816203635002
20250112_113146,tvae,adult,0.9729099244875944,1.0,0.7844205312309328,0.7238312853758417,0.0821011392496857,0.1672711255015699,1.6297637534971907
20250112_113200,tvae,cc-fraud-1,0.996246731272112,1.0,0.783121275067542,0.8651358733021853,0.0676131849862183,0.0,8.581192234105405
20250112_113219,tvae,cc-fraud-5,0.9941668893044794,1.0,0.8059967404376155,0.8802127208753954,0.0588612164179828,0.0,7.846667534331223
20250112_113226,tvae,yeast,0.9558558558558558,1.0,0.7591078883761812,0.8178739562252448,0.0696741282087011,0.0,1.333863771394663
20250114_210737,smote,adult,1.0,1.0,0.8926192122261857,0.8112313172177075,0.0125082671028208,0.1781560099934977,1.497792014952491
20250114_210753,ctgan,adult,1.0,1.0,0.8571468581369763,0.7981778695745193,0.0183615598237161,0.1000765833922795,1.1006438681333204
20250114_211137,tabsyn,adult,1.0,1.0,0.9884293104921816,0.9692267226417346,0.0035393939832251,0.0191964393758721,0.3552851401321289
20250114_211151,ctab-gan-plus,adult,1.0,0.4285714285714285,0.9608075118457516,0.9111420198852505,0.0103886542791352,0.0534739623085779,0.468230297615787
20250114_211243,vae-bgm,adult,0.9517807419193758,0.6470588235294118,0.8812373716546142,0.7068284009715157,0.104579602944688,0.0331735006081157,1.8471975895972224
20250114_212535,smote,yeast,1.0,1.0,0.91786723338358,0.9332963156505651,0.0285861040683927,0.0,0.5239340210515195
20250114_212544,ctgan,yeast,1.0,1.0,0.8339799507417567,0.8593461569256121,0.0805818730890487,0.0,1.3862388884533825
20250114_212601,tabsyn,yeast,1.0,1.0,0.9328794655727712,0.9437586198147502,0.0182735124681645,0.0206593312081786,0.2342425428064331
20250114_212615,vae-bgm,yeast,0.9983113812901048,1.0,0.8218795575365936,0.8704778980993809,0.0461581456097783,0.0193673130190397,1.320273951396152
20250114_212631,tvae-all,yeast,0.94967916244512,1.0,0.7607762703766855,0.8517748218310517,0.0672823864655377,0.0,1.0746438054549048
20250114_212938,smote,cc-fraud-1,1.0,1.0,0.9614120692641712,0.9837632103423284,0.0095148019199939,0.0,1.0456937975401306
20250114_212948,ctgan,cc-fraud-1,1.0,1.0,0.7593914174146404,0.852111811341163,0.0769069565526312,0.0,10.878104224962128
20250114_213003,tabsyn,cc-fraud-1,0.9999995683552608,1.0,0.9488883428407476,0.9788377901064076,0.0108118805034455,0.0203534107872224,1.3755104366029045
20250114_213015,ctab-gan-plus,cc-fraud-1,1.0,1.0,0.8662444830187449,0.938086118522618,0.036209123387633,0.0522575558740191,4.21791888158907
20250114_213031,vae-bgm,cc-fraud-1,0.9998459028281363,1.0,0.5680969162457604,0.7578017541567138,0.0834501072222157,0.0861360447690692,15.503086010238064
20250114_213043,tvae-all,cc-fraud-1,0.99508960944784,1.0,0.79961300768089,0.9005341560850638,0.0523329468197882,0.0,6.363134900094792
20250114_213134,smote,cc-fraud-5,1.0,1.0,0.9619120823187928,0.9784029117618176,0.0094975501714787,0.0,1.4186593458198138
20250114_213143,ctgan,cc-fraud-5,1.0,1.0,0.7587776677259159,0.850932405007174,0.0772420196148473,0.0,10.878146447707577
20250114_213150,tabsyn,cc-fraud-5,1.0,1.0,0.9481692987403648,0.9803035812754474,0.0108623164781825,0.0200060146601123,1.2259261838697006
20250114_213203,ctab-gan-plus,cc-fraud-5,1.0,1.0,0.8642843304490574,0.9374466880477218,0.0372697097613759,0.0592685802260819,4.229410916137196
20250114_213214,vae-bgm,cc-fraud-5,1.0,1.0,0.6305357806116132,0.7322698505946175,0.0768349133829831,0.0688850403635904,17.143671012504146
20250114_213225,tvae-all,cc-fraud-5,0.9922353825907124,1.0,0.7848449415120208,0.9059557271894793,0.05541807718714,0.0,5.615436483427646
20250115_121548,tvae-top-2,adult,1.0,1.0,0.844729645363833,0.7924870511424115,0.0238223781943425,0.0969041583708982,0.7722522734156182
20250115_121617,tvae-top-2,yeast,0.9929078014184398,1.0,0.7336595250450985,0.834817424804155,0.0849210296843601,0.0,0.9085407879482968
20250115_121636,tvae-top-2,cc-fraud-1,0.99106581718982,1.0,0.610689629324554,0.7563357320759082,0.112688549151843,0.0,16.343580142695817
20250115_121652,tvae-top-2,cc-fraud-5,0.9810404514629868,1.0,0.6302292361378586,0.7546969309683201,0.1089202278203959,0.0,16.131278947348495
20250119_104117,smote,adult,1.0,1.0,0.8926192122261857,0.8112313172177075,0.0125082671028208,0.1781560099934977,1.497792014952491
20250119_104136,ctgan,adult,1.0,1.0,0.8571468581369763,0.7981778695745193,0.0183615598237161,0.1000765833922795,1.1006438681333204
20250119_154528,ctab-gan-plus,adult,0.999844690351388,0.4285714285714285,0.9582309563569102,0.8722682143497519,0.0132410446289272,0.0589362596802185,0.4578862151327969
20250119_154934,vae-bgm,adult,0.9564983265400802,0.6470588235294118,0.8460778071015201,0.6780328824592817,0.1194732864715079,0.08623184735365,1.7179982800370257
20250119_155101,tvae-all,adult,0.9712068250488772,1.0,0.819842924447774,0.7247241728393731,0.0694990159608743,0.1438377619830516,1.6374793440917832
20250119_155121,tvae-top-2,adult,1.0,1.0,0.844729645363833,0.7924870511424115,0.0238223781943425,0.0969041583708982,0.7722522734156182
20250119_155152,tabsyn,adult,0.9999127970350992,1.0,0.9867896840410608,0.951921955549642,0.0047084614038602,0.0231032604012362,0.3421328245240919
20250119_155255,smote,yeast,1.0,1.0,0.91786723338358,0.9332963156505651,0.0285861040683927,0.0,0.5239340210515195
20250119_155302,ctgan,yeast,1.0,1.0,0.8339799507417567,0.8593461569256121,0.0805818730890487,0.0,1.3862388884533825
20250119_155308,tabsyn,yeast,0.9774557165861516,1.0,0.927905423981776,0.890903000112368,0.0316553169020504,0.0,0.3669420048404536
20250119_155321,vae-bgm,yeast,0.978768577494692,1.0,0.780755358034281,0.8095600799955165,0.0742343592046469,0.0,1.6805137727156774
20250119_155424,tvae-all,yeast,0.94967916244512,1.0,0.7607762703766855,0.8517748218310517,0.0672823864655377,0.0,1.0746438054549048
20250119_155430,tvae-top-2,yeast,0.9929078014184398,1.0,0.7336595250450985,0.834817424804155,0.0849210296843601,0.0,0.9085407879482968
20250119_155534,smote,cc-fraud-1,1.0,1.0,0.9614120692641712,0.9837632103423284,0.0095148019199939,0.0,1.0456937975401306
20250119_155542,ctgan,cc-fraud-1,1.0,1.0,0.7593914174146404,0.852111811341163,0.0769069565526312,0.0,10.878104224962128
20250119_155603,tabsyn,cc-fraud-1,0.9988203398436792,1.0,0.9327002786104244,0.9741857515249,0.0172858277869631,0.0,1.441724369504651
20250119_155612,ctab-gan-plus,cc-fraud-1,0.9979347834444368,1.0,0.8458184878195054,0.9159341317939488,0.0452655231682506,0.0,5.706066861379337
20250119_155622,vae-bgm,cc-fraud-1,0.999213311205466,1.0,0.4056458158068228,0.7625545698339878,0.1403817178039586,0.0,15.1988489024037
20250119_155632,tvae-all,cc-fraud-1,0.99508960944784,1.0,0.79961300768089,0.9005341560850638,0.0523329468197882,0.0,6.363134900094792
20250119_155643,tvae-top-2,cc-fraud-1,0.99106581718982,1.0,0.610689629324554,0.7563357320759082,0.112688549151843,0.0,16.343580142695817
20250119_155702,smote,cc-fraud-5,1.0,1.0,0.9619120823187928,0.9784029117618176,0.0094975501714787,0.0,1.4186593458198138
20250119_155708,ctgan,cc-fraud-5,1.0,1.0,0.7587776677259159,0.850932405007174,0.0772420196148473,0.0,10.878146447707577
20250119_155715,tabsyn,cc-fraud-5,0.9989197987570289,1.0,0.9335099382364052,0.9764115674352338,0.0168436437996028,0.0,1.2847174667242909
20250119_155724,ctab-gan-plus,cc-fraud-5,0.9979700457977472,1.0,0.8455447828707771,0.9158449115933804,0.0453259794503786,0.0,5.713515878583321
20250119_155732,vae-bgm,cc-fraud-5,0.9937687140891802,1.0,0.4601275173348966,0.7373780197225409,0.1312208617144288,0.0,17.00945820643897
20250119_155740,tvae-all,cc-fraud-5,0.9922353825907124,1.0,0.7848449415120208,0.9059557271894793,0.05541807718714,0.0,5.615436483427646
20250119_155748,tvae-top-2,cc-fraud-5,0.9810404514629867,1.0,0.6302292361378586,0.7546969309683201,0.10892022782039598,0.0,16.131278947348495
